Reposo
Calibrando
Offset: 0
MEDIDAS OBTENIDAS RAW value
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,24,0,0,0,30,0,48,0,7,7,15,159,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,15,0,31,0,0,7,15,0,7,63,0,0,0,3,0,0,0,96,0,0,0,7,7,0,3,15,0,0,15,0,7,15,0,30,31,0,7,30,28,31,0,15,0,1,0,0,0,15,0,1,0,0,0,0,0,0,30,0,7,28,63,31,15,0,39,0,63,60,63,35,0,0,0,0,30,159,0,28,0,0,7,0,0,0,0,0,0,15,
28,0,15,31,31,15,63,35,112,31,35,63,28,15,31,15,15,3,0,63,24,0,28,0,79,15,56,48,48,0,48,28,48,28,0,63,48,48,48,124,56,79,3,79,60,48,96,60,56,24,24,96,56,103,7,31,0,63,63,63,24,15,31,60,0,0,71,99,56,28,31,97,24,63,60,71,120,0,63,99,71,63,207,48,63,48,62,48,48,3,63,56,7,30,56,79,71,71,63,71,71,71,60,96,96,63,60,156,56,63,15,88,60,56,56,176,48,28,31,56,120,71,56,79,63,0,63,56,63,60,63,79,79,63,96,159,120,63,120,127,60,63,127,60,112,0,63,63,96,56,
62,99,96,99,35,96,48,96,96,96,96,124,1,96,96,120,124,31,99,127,127,79,224,96,112,79,96,124,112,60,97,48,31,88,96,112,99,127,127,127,127,120,120,127,112,120,127,127,127,143,99,135,192,112,71,120,120,127,124,96,199,99,56,120,96,195,97,127,127,156,48,127,159,97,192,79,63,99,176,143,224,124,127,127,127,99,127,193,143,99,156,126,127,120,124,71,124,99,127,120,96,126,127,167,127,143,143,192,15,127,127,143,127,143,127,192,124,127,199,127,96,120,97,63,120,112,143,127,124,127,127,127,127,127,156,143,127,127,127,127,127,79,127,207,124,143,143,143,158,97,
224,143,60,96,96,158,127,192,176,159,7,127,176,163,176,199,195,127,195,224,192,158,192,159,159,156,163,159,192,143,192,159,199,143,158,112,156,120,156,124,96,63,79,63,88,96,112,127,0,112,120,152,126,124,127,176,126,127,255,159,156,176,127,163,127,127,143,159,112,176,192,199,192,240,192,195,192,193,176,224,207,192,224,156,225,176,224,240,252,207,207,252,159,192,193,176,335,127,99,127,192,192,199,199,199,192,156,207,192,207,240,255,199,248,224,248,192,224,224,248,192,224,193,199,192,195,193,224,192,207,176,192,192,192,224,224,224,240,255,159,224,207,224,224,143,199,248,224,207,312,
195,224,224,192,254,224,255,254,287,255,252,255,284,248,255,312,304,254,304,284,255,335,240,384,240,286,327,284,248,255,287,352,255,252,255,255,176,255,254,286,312,286,255,304,319,286,255,287,319,255,287,255,255,255,255,224,287,248,255,255,255,224,255,255,287,255,248,255,248,255,287,312,284,295,192,318,255,255,248,224,286,287,255,287,384,284,255,255,255,352,255,252,255,240,192,284,255,284,24,327,248,199,248,255,327,224,335,312,335,224,255,312,312,255,335,304,287,319,284,224,255,254,319,252,287,255,287,224,255,248,287,319,255,255,287,287,287,255,287,316,255,286,248,284,240,240,240,287,255,255,
312,248,304,287,327,316,327,335,327,319,353,352,344,352,224,384,352,327,319,448,327,352,287,384,412,319,318,335,319,255,318,304,319,384,352,319,352,327,344,384,352,352,385,384,255,352,384,384,352,415,319,352,384,316,304,335,384,415,319,327,316,304,252,335,319,335,352,335,352,352,352,384,384,335,384,384,335,319,352,352,319,319,353,327,319,319,295,304,319,316,318,335,318,335,335,384,352,352,327,384,248,384,352,384,335,255,384,352,319,312,487,327,335,319,352,335,319,304,384,319,255,316,287,384,412,384,384,316,335,335,352,319,384,352,353,384,319,327,312,327,318,327,319,448,312,316,352,319,352,319,
391,384,387,391,415,384,399,415,415,414,387,384,419,384,384,384,387,408,384,412,399,384,352,384,384,391,399,415,412,415,384,448,448,415,412,312,412,391,385,414,519,384,387,399,391,412,384,399,384,448,316,384,352,384,385,480,415,391,415,408,391,448,419,384,415,448,399,391,448,385,384,391,384,455,384,391,399,384,318,384,387,391,399,384,391,412,414,448,448,399,448,399,399,384,391,387,391,387,399,391,387,384,352,387,384,384,391,391,335,412,384,448,391,448,391,415,384,415,391,408,415,255,408,415,391,384,448,414,399,384,384,487,419,391,399,387,319,327,384,385,414,319,384,335,399,399,504,384,448,414,
480,448,449,449,455,463,448,448,508,448,415,455,480,480,448,480,480,448,384,463,449,463,480,455,508,508,481,451,463,455,487,463,472,463,448,455,455,448,415,463,455,455,448,448,448,423,391,480,496,480,480,353,483,463,449,483,543,504,455,480,451,600,449,463,480,448,419,463,399,451,448,527,448,448,496,448,504,448,463,463,536,448,463,487,448,451,483,449,451,542,448,419,448,448,508,463,448,455,463,399,455,448,483,508,515,480,508,496,496,448,448,496,448,451,448,462,448,448,463,504,448,455,448,448,385,455,448,481,449,415,480,480,481,455,480,480,480,384,496,480,463,463,527,480,504,463,455,611,496,463,
496,504,455,504,496,513,451,515,448,540,515,543,519,543,513,527,543,519,542,527,527,519,510,508,638,487,496,513,504,480,510,510,527,511,448,496,504,508,513,551,515,543,519,543,508,511,515,515,504,513,504,536,512,504,448,519,496,515,480,511,519,512,480,542,527,519,513,415,519,560,515,536,624,513,540,510,487,463,508,542,480,480,480,540,448,504,527,572,572,542,543,496,527,496,575,511,591,575,527,508,519,508,504,480,480,591,504,527,508,504,448,543,504,519,519,504,496,496,519,551,568,519,519,527,519,508,496,508,504,511,543,511,504,508,504,480,504,504,527,515,480,504,504,520,527,508,536,543,448,515,
543,536,568,481,591,572,572,608,542,609,568,572,636,768,575,574,551,508,572,572,608,575,543,449,540,542,591,591,639,583,575,608,575,572,591,609,572,575,639,591,575,575,543,568,568,543,636,568,574,575,575,515,575,551,572,575,591,608,632,609,608,575,591,608,574,543,575,572,568,560,574,572,572,560,575,575,560,568,560,575,611,575,583,600,455,575,591,591,591,639,655,575,540,568,768,543,568,543,572,504,574,513,568,604,632,611,609,639,560,591,527,608,543,575,632,575,572,591,575,543,568,568,655,568,572,575,575,504,575,542,591,575,575,542,608,608,624,632,600,611,575,574,575,572,590,519,575,608,568,575,
608,604,611,609,636,639,609,639,624,615,639,668,639,639,511,655,639,632,632,591,639,639,639,638,799,655,639,624,624,608,608,591,639,575,543,575,624,632,632,768,608,636,639,647,636,639,655,636,636,671,639,655,655,632,575,639,624,768,575,638,636,632,560,639,608,639,639,768,639,768,639,639,591,608,636,636,632,624,632,638,632,608,768,636,608,636,639,639,670,639,632,655,768,636,668,574,632,632,638,636,768,624,636,608,624,543,632,624,591,638,575,768,639,632,668,671,609,639,670,639,575,639,591,768,512,768,639,636,768,636,636,636,608,615,632,638,632,611,543,638,624,632,639,671,638,639,639,655,632,624,
668,655,671,671,768,512,670,668,768,668,670,768,639,768,668,768,768,768,768,768,575,768,768,768,768,636,768,768,768,768,768,768,768,768,768,670,768,639,768,655,768,768,768,768,768,768,768,768,768,768,655,768,768,655,768,768,768,768,768,639,639,670,768,768,768,655,647,768,608,768,636,768,768,768,768,768,768,768,639,768,768,768,655,768,768,768,671,768,639,671,639,768,768,768,768,768,608,768,671,768,768,768,768,768,768,768,768,671,768,671,639,608,768,655,768,768,768,768,768,655,768,768,768,768,768,768,768,639,768,768,768,768,768,639,768,768,632,768,639,639,768,768,768,655,591,768,671,768,768,768,
768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,636,768,768,768,768,896,768,768,768,768,768,768,768,768,768,768,768,768,768,768,896,768,768,768,768,768,768,768,768,768,796,768,768,768,796,796,768,768,896,768,655,768,768,768,768,796,768,769,768,768,768,768,775,896,768,798,768,775,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,771,670,768,768,768,768,816,768,768,768,768,768,768,768,768,768,768,768,768,768,768,769,768,768,768,768,768,769,768,768,768,783,768,768,768,768,768,768,768,775,768,768,768,768,632,768,796,768,768,799,769,768,768,768,
799,824,768,896,799,768,768,824,768,768,783,775,799,816,799,799,816,768,896,783,798,816,816,799,824,796,816,911,799,796,799,771,768,768,796,771,768,796,799,796,799,816,798,799,799,796,799,896,807,896,783,768,799,796,796,896,768,768,896,775,896,775,799,796,768,768,798,799,796,824,824,896,783,896,796,896,783,824,816,816,768,799,799,798,769,807,799,768,768,768,783,768,769,896,824,799,799,828,768,816,799,768,799,896,796,828,799,799,824,798,768,783,783,799,783,775,799,824,798,799,783,828,799,896,768,896,783,798,799,775,768,896,768,775,775,799,783,816,796,799,796,768,799,771,799,896,896,799,896,799,
824,896,896,896,896,896,903,896,960,824,960,816,896,824,824,783,824,896,799,828,896,768,896,896,896,896,896,896,896,768,896,896,896,896,963,896,896,896,896,896,816,896,896,828,796,896,896,896,896,896,896,896,896,896,896,896,896,896,896,899,896,896,896,828,824,896,896,911,896,896,896,896,775,896,896,896,896,896,903,896,896,896,896,896,896,896,896,799,896,824,828,896,896,896,799,896,896,824,896,896,896,896,896,896,799,783,896,896,828,896,920,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896,768,896,896,896,896,896,896,896,824,824,896,896,896,896,896,896,896,799,896,
MEDIDAS OBTENIDAS RAW value
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
